stoat.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=4658019
swallow.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=97358725
swallow_2.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=179361827
tapir.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=1216309
tasmanian_devil.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=20274518
toucan.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=10886159
tree_frog.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=4381169
tree_frog_2.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=146792300
vulture.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=39481105
walrus.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=31314788
walrus_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=45744
wasp.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=172852720
whale.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=77794656
whale_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=95412603
wild_boar.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=24884964
