
# --- added by sourcing run 2026-07-20 ---
mallet.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3358489/free-illustration-image-antique-art-artwork
bow_saw.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Beugelzaag_hout.jpg
nail_puller.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Catspaw_(Tool_nail_puller).jpg
drawknife.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Drawknife.jpg
drawknife_2.webp | CC0 1.0 | Openverse/wikimedia | https://commons.wikimedia.org/w/index.php?curid=82017808
drawknife_3.webp | CC0 1.0 | Openverse/wikimedia | https://commons.wikimedia.org/w/index.php?curid=82071812
folding_rule.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Handmade_Wooden_Carpenters'_Folding_Rule.jpg
hammer_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Claw-hammer.jpg
hand_saw_3.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Cassells_Carpentry.78_hand_saw.png
hatchet.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Hatchet_2_(PSF).png
hatchet_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Hatchet_firefighter.png
hoe.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:GardenHoe2.PNG
pincers.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Klieste_klasicke.jpg
pincers_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Pincer_(PSF).png
plumb_bob.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Plumb-Bob_Pendant_LACMA_M.80.198.185.jpg
plumb_bob_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Plumb_1_(PSF).png
rake.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Rake_-_Tool_3_(PSF).png
scissors_case.webp | CC0 1.0 | Cleveland Museum of Art | https://clevelandart.org/art/1953.632
sugar_scissors.webp | CC0 1.0 | Cleveland Museum of Art | https://clevelandart.org/art/1940.224
scissors.webp | CC0 1.0 | Cleveland Museum of Art | https://clevelandart.org/art/1967.157.j
thimble.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3358752/free-illustration-image-sewing-antique-art
tongs.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Grilling-tongs.png
vise.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Benchtop_Vise_Used_By_Stephen_and_Elmer_Braun_-_DPLA_-_2fabd3d8cf33037a86b84503c66fadc1_(page_1).jpg
vise_2.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Benchtop_Vise_Used_By_Stephen_and_Elmer_Braun_-_DPLA_-_2fabd3d8cf33037a86b84503c66fadc1_(page_10).jpg
wrench_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Clé_plate.jpg
wrench_3.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6817538/vector-vintage-public-domain-black
auger.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3392182/free-illustration-image-antique-art-artwork
auger_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3363024/free-illustration-image-alfonso-moreno-antique-art
spindle.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/8933766/awl
axe_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3362737/free-illustration-image-antique-art-artwork
broad_axe.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3358351/free-illustration-image-antique-archie-thompson-art
axe_3.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3391915/free-illustration-image-adze-antique-art
chisel.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3391223/free-illustration-image-antique-art-artwork
clamp.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6819496/vector-vintage-public-domain-wood
compass.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Compass2_(PSF).png
flat_iron.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3387472/free-illustration-image-antique-arlington-gregg-art
flat_iron_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3387466/free-illustration-image-antique-art-artwork
hammer_3.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3390655/free-illustration-image-antique-art-artwork
hand_plane_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/10081230/rabbet-plane-c-1938-samuel-faigin
hand_plane_3.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3369031/free-illustration-image-antique-art-artwork
hand_plane_4.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/9630185/carpenters-plane
fish_hook.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/8446089/fish-hook
step_ladder.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/7669423/png-pattern-cartoon
magnifying_glass.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/5912126/image-public-domain-wooden-vintage
magnifying_glass_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/5904151/magnifying-glass-free-public-domain-cc0-image
nail_box.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3367870/free-illustration-image-vintage-antique-art
hammer_nails.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/5914305/image-public-domain-vintage-construction
oil_can.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/5920025/motor-oiling-can-free-public-domain-cc0-photo
oil_can_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3379315/free-illustration-image-20th-century-antique-art
pliers_3.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Plier_1_(PSF).png
pliers_4.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Plier_2_(PSF).png
hand_saw_4.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/9638134/hand-saw
