
# --- added by sourcing run 2026-07-20 ---
chess_knight_blue.webp | CC0 (Public Domain) | Art Institute of Chicago | https://www.artic.edu/artworks/68687
dice_carving.webp | CC0 1.0 | Cleveland Museum of Art | https://clevelandart.org/art/1947.668
ancient_doll.webp | CC0 1.0 | Cleveland Museum of Art | https://clevelandart.org/art/1996.267.2
ancient_doll_2.webp | CC0 1.0 | Cleveland Museum of Art | https://clevelandart.org/art/1996.267.1
doll_pair.webp | CC0 1.0 | Cleveland Museum of Art | https://clevelandart.org/art/1996.267
japanese_doll.webp | CC0 1.0 | Cleveland Museum of Art | https://clevelandart.org/art/1976.99
clay_doll.webp | CC0 (Public Domain) | Art Institute of Chicago | https://www.artic.edu/artworks/9028
andean_dolls.webp | CC0 (Public Domain) | Art Institute of Chicago | https://www.artic.edu/artworks/103045
textile_dolls.webp | CC0 (Public Domain) | Art Institute of Chicago | https://www.artic.edu/artworks/103049
hoop_girl.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Alphonse_Pellet_-_Girl_with_a_hoop.jpg
hoop_child.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Ferenc_J%C3%B3zsef_%C3%BAt_(Strada_Horea)_9._sz._h%C3%A1z_udvara_._Fortepan_19983.jpg
hoop_boy.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Koppay_-_Nathan_Meyer_Victor_Rothschild_holding_a_hoop.jpg
matryoshka_set.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Early_matryoshka_-_All-Russian_Decorative_Art_Museum.jpg
matryoshka_families.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:First_matryoshka_museum_doll_open.jpg
matryoshka_red.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Matryoshka_from_Hungary.jpg
music_box.webp | CC0 1.0 | Cleveland Museum of Art | https://clevelandart.org/art/1925.758
