
# --- added by sourcing run 2026-07-20 ---
guitar.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6675280/png-sticker-vintage
lyre.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Gesneden_steen_met_de_beeltenis_van_Apollo,_RP-P-OB-51.125(V).jpg
lyre_2.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Gérôme_-_the_life_and_works_of_Jean_Léon_Gérôme_(1892)_(14740169286).jpg
snare_drum.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6438183/vector-vintage-public-domain-black
snare_drum_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6440257/png-vintage-public-domain
tambourine.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Character_sketches_of_romance,_fiction_and_the_drama_(1892)_(14805002503).jpg
tambourine_2.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Italy_from_the_Alps_to_Mount_Etna_(1877)_(14775032454).jpg
cymbals.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6261934/image-vintage-public-domain-art
cymbals_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/10103474/image-face-person-art
triangle_instrument.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Bulletin_-_United_States_National_Museum_(1891)_(19805792124).jpg
triangle_instrument_2.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Complete_catalog_and_price_list_(1900)_(14764975532).jpg
xylophone.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6440091/png-vintage-public-domain
gramophone.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6260783/vector-vintage-public-domain-art
gramophone_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6265183/png-vintage-public-domain
phonograph.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:North_American_Phonograph_1893.jpg
phonograph_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6289756/image-vintage-public-domain-black
sheet_music.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:"Ingenues"_on_stage,_1928-1929_-_by_Sam_Hood_(3273848616).jpg
sheet_music_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:A_wet_Angel_Place,_Sydney,_1930s_-_Sam_Hood_(3293630577).jpg
